[2024-08-16 14:52:33,756: INFO: main: Welcome to out custom log]
[2024-08-16 14:53:08,555: INFO: main: Welcome to out custom log]
[2024-08-16 15:41:08,704: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-16 15:41:09,269: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-16 15:41:09,270: INFO: common: created directory at: artifacts]
[2024-08-16 15:41:09,272: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-16 15:41:09,273: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-16 15:41:30,699: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-16 15:57:29,538: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-16 15:57:29,540: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-16 15:57:29,541: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-16 15:57:29,542: INFO: common: created directory at: artifacts]
[2024-08-16 15:57:29,542: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-16 15:57:29,543: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-16 15:57:49,264: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-16 15:57:50,427: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
